age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,previous,y
67.0,retired,married,secondary,0.0,696.0,0.0,0.0,telephone,17.0,aug,1.0,2.0,0.0
56.0,self-employed,married,secondary,0.0,784.0,0.0,1.0,cellular,30.0,jul,2.0,0.0,0.0
39.0,admin,married,secondary,0.0,105.0,0.0,1.0,cellular,21.0,aug,2.0,0.0,0.0
68.0,retired,divorced,secondary,0.0,4189.0,0.0,0.0,telephone,14.0,jul,2.0,0.0,1.0
31.0,technician,married,secondary,0.0,171.0,0.0,0.0,cellular,27.0,aug,3.0,0.0,0.0
39.0,management,single,tertiary,0.0,2536.0,1.0,0.0,cellular,26.0,aug,6.0,0.0,1.0
49.0,technician,married,tertiary,0.0,1235.0,0.0,0.0,cellular,13.0,aug,3.0,0.0,1.0
42.0,admin,divorced,secondary,0.0,1811.0,1.0,0.0,cellular,14.0,may,1.0,0.0,0.0
32.0,blue-collar,married,secondary,0.0,2089.0,1.0,0.0,cellular,14.0,nov,1.0,0.0,1.0
33.0,management,married,secondary,0.0,3935.0,1.0,0.0,cellular,6.0,may,1.0,2.0,1.0
23.0,services,single,tertiary,0.0,363.0,1.0,0.0,cellular,30.0,may,2.0,0.0,0.0
38.0,management,single,tertiary,0.0,11971.0,1.0,0.0,cellular,17.0,nov,2.0,3.0,0.0
36.0,management,single,tertiary,0.0,553.0,0.0,0.0,cellular,11.0,aug,2.0,0.0,0.0
32.0,technician,married,tertiary,0.0,396.0,1.0,0.0,cellular,13.0,may,3.0,0.0,0.0
32.0,technician,single,tertiary,0.0,2204.0,1.0,0.0,cellular,21.0,nov,4.0,0.0,0.0
55.0,blue-collar,married,primary,0.0,711880.0,0.0,0.0,telephone,2.0,feb,3.0,2.0,0.0
26.0,management,married,primary,0.0,0.0,1.0,0.0,cellular,21.0,may,1.0,0.0,0.0
39.0,entrepreneur,single,primary,1.0,-849.0,1.0,1.0,cellular,4.0,feb,1.0,0.0,0.0
61.0,admin,married,secondary,0.0,4629.0,1.0,0.0,cellular,27.0,jan,1.0,1.0,1.0
45.0,blue-collar,divorced,primary,0.0,844.0,0.0,0.0,cellular,5.0,jun,3.0,0.0,1.0
39.0,technician,single,secondary,0.0,228.0,1.0,0.0,cellular,20.0,aug,2.0,0.0,0.0
38.0,technician,single,secondary,0.0,50.0,0.0,0.0,cellular,29.0,aug,2.0,0.0,0.0
34.0,technician,married,tertiary,0.0,1539.0,1.0,0.0,cellular,15.0,jun,1.0,1.0,1.0
53.0,blue-collar,married,secondary,0.0,2231.0,1.0,0.0,cellular,14.0,jul,3.0,0.0,0.0
48.0,admin,married,secondary,0.0,3064.0,1.0,0.0,telephone,15.0,jul,2.0,0.0,0.0
39.0,management,married,secondary,0.0,82.0,0.0,1.0,telephone,4.0,feb,1.0,0.0,0.0
33.0,self-employed,single,tertiary,0.0,2155.0,0.0,0.0,cellular,17.0,may,1.0,0.0,0.0
54.0,technician,divorced,secondary,0.0,784.0,1.0,1.0,cellular,15.0,may,1.0,0.0,0.0
41.0,blue-collar,married,primary,0.0,-516.0,0.0,1.0,telephone,8.0,jul,3.0,0.0,0.0
63.0,retired,married,secondary,0.0,415.0,1.0,0.0,cellular,7.0,oct,1.0,0.0,0.0
48.0,management,married,tertiary,0.0,5887.0,0.0,0.0,cellular,13.0,aug,2.0,0.0,0.0
48.0,services,married,secondary,0.0,462.0,0.0,0.0,cellular,4.0,jul,2.0,0.0,0.0
56.0,admin,married,secondary,0.0,462.0,1.0,0.0,cellular,7.0,oct,1.0,0.0,0.0
31.0,services,married,secondary,0.0,338.0,1.0,0.0,cellular,28.0,jan,1.0,0.0,0.0
39.0,technician,married,secondary,0.0,444.0,1.0,0.0,cellular,21.0,jul,4.0,0.0,0.0
41.0,management,married,secondary,0.0,0.0,0.0,1.0,cellular,7.0,jul,3.0,0.0,0.0
37.0,management,married,tertiary,0.0,0.0,0.0,0.0,cellular,16.0,jul,2.0,3.0,1.0
42.0,entrepreneur,divorced,tertiary,1.0,2.0,1.0,0.0,cellular,5.0,may,1.0,0.0,0.0
31.0,management,married,tertiary,0.0,6248.0,1.0,0.0,cellular,9.0,may,2.0,0.0,0.0
41.0,services,married,tertiary,0.0,412.0,1.0,0.0,cellular,3.0,jun,5.0,0.0,0.0
56.0,retired,married,secondary,0.0,344.0,1.0,0.0,cellular,15.0,may,1.0,0.0,0.0
41.0,management,divorced,secondary,0.0,174.0,1.0,0.0,cellular,14.0,may,2.0,1.0,0.0
40.0,technician,single,secondary,0.0,591.0,0.0,1.0,cellular,14.0,aug,6.0,0.0,0.0
50.0,blue-collar,divorced,primary,0.0,388.0,0.0,0.0,cellular,5.0,feb,1.0,0.0,0.0
40.0,unemployed,married,secondary,0.0,219.0,1.0,0.0,cellular,17.0,nov,2.0,1.0,0.0
27.0,admin,divorced,secondary,0.0,451.0,1.0,0.0,cellular,16.0,jul,1.0,0.0,1.0
60.0,retired,married,primary,0.0,462.0,0.0,0.0,cellular,26.0,aug,2.0,0.0,0.0
28.0,admin,married,secondary,0.0,177.0,1.0,1.0,cellular,6.0,may,1.0,0.0,0.0
52.0,services,married,secondary,0.0,657.0,0.0,0.0,telephone,7.0,jul,2.0,2.0,1.0
37.0,management,married,tertiary,0.0,1315.0,0.0,0.0,cellular,30.0,jun,1.0,0.0,1.0
51.0,blue-collar,married,primary,0.0,1466.0,1.0,0.0,cellular,7.0,may,2.0,0.0,0.0
41.0,technician,single,secondary,0.0,879.0,0.0,1.0,cellular,7.0,jul,2.0,0.0,0.0
35.0,blue-collar,single,primary,0.0,293.0,1.0,0.0,cellular,30.0,may,2.0,0.0,0.0
34.0,blue-collar,married,secondary,0.0,1831.0,1.0,0.0,cellular,20.0,may,2.0,0.0,0.0
34.0,blue-collar,married,primary,0.0,455.0,1.0,0.0,cellular,20.0,jun,3.0,0.0,0.0
27.0,services,single,secondary,0.0,-195.0,1.0,0.0,cellular,18.0,may,1.0,0.0,1.0
32.0,management,single,secondary,0.0,3616.0,0.0,0.0,cellular,14.0,aug,2.0,0.0,0.0
57.0,blue-collar,married,secondary,0.0,14093.0,0.0,0.0,cellular,11.0,aug,5.0,0.0,0.0
41.0,management,single,tertiary,0.0,1567.0,0.0,0.0,cellular,1.0,jul,2.0,0.0,0.0
41.0,admin,married,tertiary,0.0,5426.0,1.0,0.0,cellular,14.0,may,2.0,0.0,0.0
30.0,admin,single,secondary,0.0,261.0,0.0,0.0,cellular,19.0,oct,1.0,0.0,0.0
36.0,blue-collar,divorced,secondary,0.0,2843.0,0.0,0.0,cellular,12.0,may,1.0,1.0,0.0
31.0,unemployed,married,primary,0.0,462.0,0.0,0.0,cellular,4.0,feb,1.0,0.0,1.0
38.0,management,single,tertiary,0.0,493.0,1.0,0.0,cellular,11.0,may,1.0,7.0,0.0
49.0,technician,married,secondary,0.0,5996.0,0.0,0.0,telephone,21.0,nov,2.0,0.0,0.0
57.0,services,single,primary,0.0,3777.0,1.0,0.0,telephone,13.0,may,2.0,0.0,0.0
34.0,management,single,secondary,0.0,524.0,0.0,0.0,cellular,13.0,aug,1.0,0.0,0.0
32.0,management,single,tertiary,0.0,574.0,1.0,0.0,cellular,14.0,may,2.0,3.0,0.0
37.0,blue-collar,married,secondary,0.0,427.0,1.0,1.0,cellular,9.0,jun,3.0,0.0,0.0
33.0,self-employed,married,tertiary,0.0,483.0,1.0,0.0,cellular,3.0,feb,2.0,0.0,0.0
56.0,unemployed,married,primary,0.0,3391.0,0.0,0.0,cellular,21.0,apr,1.0,0.0,1.0
39.0,housemaid,married,primary,0.0,0.0,1.0,0.0,cellular,23.0,jul,2.0,0.0,0.0
21.0,student,single,secondary,0.0,2488.0,0.0,0.0,cellular,30.0,jun,6.0,0.0,1.0
58.0,management,married,tertiary,0.0,1517.0,1.0,0.0,telephone,29.0,jul,5.0,0.0,0.0
32.0,self-employed,married,secondary,0.0,217.0,1.0,1.0,cellular,15.0,jul,5.0,0.0,0.0
33.0,blue-collar,single,secondary,0.0,462.0,0.0,0.0,cellular,30.0,jan,2.0,1.0,0.0
25.0,student,single,secondary,0.0,331.0,0.0,0.0,telephone,26.0,aug,4.0,0.0,1.0
25.0,technician,single,secondary,0.0,505.0,0.0,1.0,cellular,17.0,nov,2.0,0.0,1.0
39.0,admin,single,secondary,0.0,4111.0,0.0,1.0,cellular,19.0,aug,1.0,0.0,0.0
39.0,blue-collar,married,primary,0.0,52.0,0.0,0.0,cellular,13.0,aug,1.0,0.0,0.0
46.0,management,divorced,tertiary,0.0,25.0,1.0,0.0,cellular,17.0,jun,2.0,0.0,0.0
39.0,admin,divorced,secondary,0.0,1890.0,1.0,0.0,cellular,21.0,jul,1.0,0.0,0.0
45.0,blue-collar,married,primary,0.0,419.0,0.0,0.0,cellular,18.0,aug,4.0,0.0,0.0
39.0,technician,married,secondary,0.0,2693.0,1.0,0.0,cellular,21.0,may,1.0,0.0,0.0
36.0,management,married,secondary,0.0,-231.0,1.0,1.0,cellular,15.0,jul,2.0,0.0,0.0
51.0,management,single,tertiary,1.0,-55.0,1.0,0.0,cellular,11.0,may,2.0,6.0,0.0
34.0,self-employed,single,tertiary,0.0,462.0,0.0,0.0,cellular,21.0,aug,3.0,0.0,1.0
24.0,unemployed,single,secondary,0.0,462.0,0.0,0.0,cellular,15.0,sep,1.0,0.0,0.0
45.0,technician,single,secondary,0.0,586.0,0.0,1.0,cellular,28.0,jul,3.0,0.0,0.0
32.0,blue-collar,single,secondary,0.0,228.0,0.0,0.0,telephone,5.0,feb,1.0,3.0,0.0
41.0,blue-collar,married,primary,0.0,168.0,1.0,0.0,cellular,18.0,nov,3.0,0.0,0.0
39.0,blue-collar,married,primary,0.0,0.0,1.0,0.0,cellular,26.0,may,1.0,0.0,0.0
39.0,blue-collar,married,secondary,1.0,-715.0,1.0,0.0,cellular,30.0,may,3.0,0.0,0.0
48.0,admin,married,tertiary,0.0,0.0,1.0,0.0,cellular,8.0,may,1.0,2.0,0.0
39.0,technician,single,secondary,0.0,769.0,1.0,0.0,cellular,9.0,may,2.0,0.0,0.0
33.0,management,single,tertiary,0.0,0.0,0.0,0.0,cellular,28.0,aug,10.0,0.0,0.0
29.0,admin,single,secondary,0.0,428.0,1.0,1.0,cellular,7.0,may,1.0,2.0,0.0
34.0,management,single,tertiary,0.0,0.0,0.0,0.0,cellular,5.0,feb,1.0,0.0,0.0
52.0,management,married,tertiary,0.0,462.0,1.0,0.0,cellular,4.0,feb,1.0,0.0,1.0
32.0,management,divorced,primary,0.0,948.0,0.0,0.0,cellular,12.0,may,2.0,0.0,0.0
32.0,management,single,tertiary,0.0,0.0,1.0,0.0,cellular,22.0,jul,2.0,0.0,0.0
56.0,services,divorced,secondary,0.0,1877.0,1.0,0.0,cellular,30.0,may,1.0,0.0,0.0
31.0,management,single,tertiary,0.0,874.0,1.0,0.0,cellular,18.0,nov,2.0,0.0,0.0
42.0,admin,married,secondary,0.0,323.0,1.0,1.0,cellular,8.0,may,2.0,0.0,0.0
35.0,management,married,tertiary,0.0,106.0,0.0,1.0,cellular,11.0,aug,2.0,0.0,0.0
56.0,retired,married,primary,0.0,1906.0,1.0,1.0,cellular,19.0,jun,9.0,0.0,0.0
48.0,technician,married,secondary,0.0,1152.0,1.0,0.0,cellular,21.0,may,5.0,0.0,0.0
46.0,admin,married,secondary,0.0,179.0,1.0,0.0,cellular,29.0,jan,4.0,1.0,0.0
41.0,entrepreneur,married,secondary,0.0,89.0,1.0,0.0,cellular,6.0,may,2.0,0.0,0.0
39.0,management,single,tertiary,0.0,442.0,1.0,1.0,cellular,29.0,jul,3.0,0.0,0.0
45.0,unemployed,married,primary,1.0,-249.0,1.0,1.0,cellular,1.0,jul,1.0,0.0,0.0
55.0,entrepreneur,married,secondary,0.0,8104.0,0.0,0.0,cellular,6.0,feb,2.0,0.0,0.0
39.0,technician,married,secondary,0.0,501.0,0.0,0.0,cellular,26.0,may,1.0,0.0,0.0
35.0,technician,divorced,secondary,0.0,308.0,0.0,0.0,cellular,22.0,aug,2.0,0.0,0.0
39.0,admin,married,secondary,0.0,602.0,0.0,0.0,cellular,1.0,jun,3.0,2.0,1.0
39.0,technician,married,secondary,0.0,273.0,1.0,0.0,cellular,29.0,jan,3.0,3.0,0.0
27.0,self-employed,single,secondary,0.0,50.0,0.0,0.0,cellular,29.0,jan,1.0,0.0,0.0
34.0,management,married,secondary,0.0,1641.0,1.0,0.0,cellular,17.0,apr,1.0,0.0,0.0
34.0,blue-collar,married,tertiary,0.0,20.0,0.0,0.0,cellular,4.0,oct,1.0,0.0,0.0
25.0,admin,single,secondary,0.0,4590.0,1.0,0.0,cellular,28.0,may,2.0,0.0,0.0
41.0,admin,single,secondary,0.0,-256.0,0.0,1.0,cellular,9.0,may,3.0,0.0,0.0
43.0,services,married,secondary,0.0,978.0,1.0,1.0,cellular,26.0,may,2.0,0.0,0.0
31.0,admin,single,secondary,0.0,2104.0,1.0,0.0,cellular,3.0,jun,1.0,0.0,0.0
78.0,housemaid,married,secondary,0.0,499.0,0.0,0.0,telephone,16.0,mar,4.0,0.0,0.0
45.0,blue-collar,divorced,secondary,0.0,1269.0,1.0,0.0,cellular,29.0,jan,2.0,0.0,0.0
48.0,technician,married,tertiary,0.0,310.0,0.0,0.0,cellular,6.0,may,1.0,0.0,0.0
32.0,blue-collar,married,secondary,0.0,1143.0,1.0,1.0,cellular,10.0,jul,1.0,0.0,0.0
42.0,technician,married,secondary,0.0,2980.0,1.0,0.0,cellular,20.0,jun,3.0,0.0,0.0
37.0,management,single,tertiary,0.0,37.0,0.0,0.0,cellular,28.0,jan,2.0,0.0,0.0
40.0,admin,single,secondary,0.0,462.0,1.0,1.0,cellular,6.0,apr,1.0,4.0,0.0
32.0,admin,married,secondary,0.0,1031.0,1.0,0.0,cellular,17.0,jul,1.0,0.0,0.0
42.0,management,married,tertiary,0.0,9009.0,0.0,0.0,cellular,20.0,nov,2.0,0.0,0.0
43.0,admin,married,secondary,0.0,-465.0,1.0,1.0,cellular,23.0,jul,1.0,0.0,0.0
44.0,admin,married,secondary,0.0,5181.0,1.0,1.0,cellular,31.0,jul,7.0,0.0,0.0
37.0,admin,married,secondary,0.0,176.0,1.0,0.0,cellular,5.0,may,2.0,1.0,0.0
37.0,management,married,secondary,0.0,1699.0,0.0,0.0,cellular,9.0,jun,1.0,0.0,0.0
39.0,admin,married,tertiary,0.0,0.0,1.0,0.0,cellular,17.0,nov,2.0,1.0,0.0
28.0,technician,single,tertiary,0.0,172.0,1.0,1.0,cellular,2.0,feb,2.0,0.0,0.0
32.0,services,married,secondary,0.0,0.0,0.0,1.0,cellular,11.0,jul,2.0,0.0,0.0
34.0,admin,married,secondary,0.0,6979.0,1.0,0.0,cellular,15.0,may,5.0,0.0,0.0
40.0,admin,married,secondary,0.0,6.0,1.0,0.0,cellular,11.0,jun,1.0,0.0,0.0
34.0,services,married,secondary,0.0,-62.0,1.0,0.0,cellular,16.0,jun,3.0,0.0,0.0
34.0,self-employed,married,tertiary,0.0,1972.0,1.0,0.0,cellular,23.0,jul,2.0,0.0,0.0
34.0,admin,married,tertiary,0.0,899.0,1.0,0.0,telephone,19.0,nov,3.0,4.0,0.0
37.0,services,single,secondary,0.0,21.0,1.0,0.0,cellular,2.0,feb,1.0,2.0,0.0
36.0,technician,married,secondary,0.0,23.0,1.0,0.0,cellular,8.0,may,2.0,1.0,0.0
56.0,retired,married,secondary,0.0,-1206.0,1.0,0.0,cellular,15.0,may,2.0,0.0,1.0
49.0,blue-collar,married,primary,0.0,0.0,1.0,1.0,telephone,23.0,jul,6.0,0.0,0.0
33.0,self-employed,married,secondary,0.0,215.0,1.0,0.0,cellular,29.0,jul,12.0,0.0,0.0
30.0,management,single,tertiary,0.0,1372.0,0.0,0.0,cellular,20.0,nov,2.0,0.0,0.0
36.0,services,married,secondary,0.0,1981.0,1.0,0.0,cellular,17.0,jun,2.0,0.0,0.0
27.0,blue-collar,single,secondary,0.0,462.0,1.0,0.0,cellular,30.0,may,2.0,0.0,0.0
38.0,services,married,secondary,0.0,1.0,0.0,0.0,cellular,21.0,nov,2.0,0.0,0.0
42.0,technician,married,tertiary,0.0,782.0,0.0,0.0,cellular,3.0,apr,1.0,0.0,0.0
34.0,technician,single,secondary,0.0,992.0,1.0,0.0,cellular,4.0,may,1.0,2.0,0.0
35.0,technician,single,tertiary,0.0,2658.0,1.0,0.0,cellular,19.0,aug,2.0,3.0,1.0
39.0,management,divorced,tertiary,0.0,1315.0,1.0,0.0,cellular,19.0,nov,4.0,1.0,0.0
29.0,blue-collar,single,tertiary,0.0,455.0,0.0,0.0,telephone,21.0,apr,1.0,0.0,1.0
45.0,technician,single,tertiary,0.0,462.0,1.0,0.0,cellular,18.0,nov,2.0,0.0,0.0
42.0,technician,married,secondary,0.0,2030.0,1.0,1.0,cellular,9.0,jul,1.0,0.0,0.0
29.0,technician,married,secondary,0.0,1599.0,1.0,0.0,cellular,8.0,jul,1.0,1.0,0.0
38.0,services,single,secondary,0.0,-196.0,1.0,0.0,cellular,2.0,feb,1.0,1.0,0.0
56.0,retired,married,secondary,0.0,1333.0,0.0,0.0,cellular,28.0,aug,14.0,0.0,0.0
36.0,technician,single,secondary,0.0,9149.0,1.0,0.0,cellular,13.0,aug,3.0,0.0,0.0
25.0,blue-collar,single,secondary,0.0,-350.0,1.0,0.0,cellular,23.0,jun,3.0,0.0,0.0
38.0,technician,married,tertiary,0.0,432.0,1.0,0.0,cellular,15.0,may,2.0,1.0,0.0
57.0,self-employed,married,secondary,0.0,11494.0,0.0,0.0,cellular,19.0,nov,1.0,0.0,0.0
31.0,management,married,tertiary,1.0,-253.0,0.0,0.0,cellular,12.0,aug,4.0,0.0,0.0
42.0,management,married,tertiary,0.0,372.0,1.0,0.0,cellular,3.0,aug,2.0,0.0,1.0
45.0,technician,married,secondary,0.0,1410.0,1.0,0.0,cellular,11.0,aug,2.0,0.0,0.0
30.0,blue-collar,married,secondary,0.0,975.0,1.0,0.0,cellular,13.0,may,2.0,2.0,0.0
49.0,blue-collar,married,primary,0.0,305.0,1.0,1.0,telephone,10.0,jul,10.0,0.0,0.0
39.0,services,married,secondary,0.0,400.0,0.0,0.0,cellular,21.0,aug,3.0,0.0,0.0
53.0,retired,married,tertiary,0.0,-22.0,1.0,0.0,cellular,31.0,jul,3.0,0.0,0.0
37.0,technician,married,secondary,0.0,4030.0,1.0,0.0,cellular,26.0,may,5.0,0.0,0.0
49.0,blue-collar,married,primary,0.0,365.0,0.0,0.0,cellular,26.0,may,2.0,0.0,0.0
41.0,self-employed,married,primary,0.0,462.0,0.0,0.0,cellular,13.0,may,7.0,0.0,0.0
54.0,management,married,secondary,0.0,1691.0,1.0,0.0,cellular,20.0,nov,1.0,0.0,0.0
32.0,services,single,secondary,0.0,406.0,1.0,0.0,cellular,6.0,may,1.0,0.0,0.0
33.0,management,married,secondary,0.0,-204.0,0.0,0.0,cellular,15.0,may,3.0,0.0,0.0
33.0,technician,married,secondary,0.0,359.0,1.0,0.0,cellular,20.0,apr,1.0,1.0,0.0
36.0,blue-collar,married,primary,0.0,123.0,1.0,0.0,cellular,18.0,may,1.0,0.0,0.0
35.0,technician,married,tertiary,0.0,0.0,1.0,1.0,cellular,23.0,sep,1.0,6.0,0.0
52.0,management,married,secondary,0.0,142.0,0.0,0.0,cellular,25.0,aug,6.0,0.0,0.0
40.0,entrepreneur,married,tertiary,0.0,3571.0,0.0,0.0,cellular,9.0,jun,3.0,0.0,0.0
44.0,technician,single,secondary,0.0,33.0,1.0,0.0,cellular,13.0,may,3.0,0.0,0.0
45.0,blue-collar,single,secondary,0.0,0.0,1.0,0.0,cellular,26.0,jul,2.0,5.0,0.0
30.0,student,single,secondary,0.0,3096.0,0.0,0.0,cellular,26.0,jan,1.0,0.0,0.0
48.0,technician,divorced,secondary,1.0,20.0,0.0,0.0,cellular,27.0,aug,3.0,0.0,0.0
57.0,technician,married,primary,0.0,206.0,1.0,0.0,cellular,5.0,may,3.0,0.0,0.0
39.0,housemaid,married,primary,0.0,7082.0,0.0,0.0,cellular,6.0,jun,3.0,0.0,0.0
51.0,unemployed,married,tertiary,0.0,1634.0,1.0,0.0,cellular,22.0,jul,4.0,0.0,0.0
39.0,admin,married,secondary,0.0,1.0,1.0,0.0,cellular,22.0,jul,7.0,0.0,0.0
50.0,self-employed,married,tertiary,0.0,4012.0,0.0,0.0,cellular,19.0,nov,3.0,0.0,0.0
44.0,management,married,tertiary,0.0,3762.0,0.0,0.0,cellular,28.0,aug,12.0,0.0,0.0
39.0,admin,married,secondary,0.0,-247.0,1.0,1.0,cellular,4.0,jun,2.0,0.0,0.0
50.0,blue-collar,married,secondary,0.0,462.0,1.0,0.0,cellular,14.0,may,2.0,0.0,0.0
36.0,management,married,tertiary,0.0,0.0,1.0,0.0,cellular,28.0,jan,1.0,1.0,0.0
42.0,management,married,secondary,0.0,-189.0,1.0,0.0,cellular,12.0,may,2.0,0.0,0.0
32.0,unemployed,single,secondary,0.0,0.0,0.0,0.0,cellular,27.0,may,2.0,0.0,0.0
42.0,management,married,tertiary,0.0,462.0,1.0,0.0,cellular,11.0,jul,2.0,0.0,0.0
43.0,technician,married,secondary,0.0,0.0,0.0,1.0,cellular,8.0,may,2.0,5.0,0.0
31.0,management,married,tertiary,0.0,462.0,1.0,0.0,cellular,9.0,feb,3.0,0.0,0.0
32.0,management,married,tertiary,0.0,2349.0,0.0,0.0,cellular,14.0,aug,5.0,0.0,0.0
39.0,blue-collar,divorced,primary,0.0,410.0,0.0,1.0,cellular,11.0,jul,2.0,0.0,0.0
58.0,retired,married,primary,0.0,3401.0,1.0,0.0,cellular,3.0,feb,3.0,2.0,0.0
55.0,blue-collar,married,secondary,0.0,989.0,1.0,1.0,cellular,23.0,may,4.0,0.0,0.0
34.0,management,married,tertiary,0.0,415.0,0.0,1.0,cellular,23.0,jul,2.0,0.0,0.0
28.0,unemployed,single,secondary,0.0,16.0,0.0,0.0,cellular,12.0,aug,4.0,0.0,0.0
42.0,technician,divorced,tertiary,0.0,7190.0,1.0,0.0,cellular,29.0,jul,2.0,0.0,0.0
29.0,blue-collar,single,secondary,0.0,482.0,0.0,1.0,cellular,10.0,jul,3.0,0.0,1.0
39.0,technician,single,tertiary,0.0,5803.0,0.0,0.0,cellular,2.0,feb,3.0,0.0,0.0
53.0,entrepreneur,married,tertiary,0.0,624.0,0.0,0.0,cellular,21.0,jul,4.0,0.0,0.0
58.0,technician,married,tertiary,0.0,883.0,0.0,0.0,cellular,18.0,aug,1.0,2.0,0.0
40.0,self-employed,married,secondary,0.0,1516.0,1.0,1.0,cellular,23.0,may,1.0,0.0,0.0
29.0,student,single,secondary,0.0,872.0,1.0,0.0,cellular,7.0,may,1.0,0.0,0.0
33.0,technician,married,tertiary,0.0,-988.0,1.0,1.0,cellular,15.0,jul,3.0,0.0,0.0
38.0,admin,single,secondary,0.0,902.0,1.0,0.0,telephone,31.0,jul,13.0,0.0,0.0
56.0,services,divorced,secondary,0.0,1007.0,0.0,0.0,cellular,29.0,jul,6.0,0.0,0.0
40.0,services,married,secondary,0.0,0.0,1.0,0.0,cellular,2.0,jun,1.0,3.0,0.0
24.0,blue-collar,single,secondary,0.0,462.0,1.0,1.0,cellular,18.0,may,1.0,0.0,1.0
46.0,management,married,secondary,0.0,12186.0,0.0,0.0,cellular,20.0,jun,3.0,0.0,0.0
35.0,self-employed,married,secondary,0.0,524.0,1.0,0.0,cellular,21.0,nov,2.0,0.0,0.0
35.0,blue-collar,single,tertiary,0.0,0.0,1.0,0.0,cellular,21.0,jul,4.0,0.0,0.0
34.0,technician,married,secondary,0.0,4.0,1.0,0.0,cellular,15.0,may,1.0,0.0,0.0
38.0,technician,single,tertiary,0.0,0.0,0.0,0.0,cellular,28.0,aug,2.0,0.0,0.0
50.0,blue-collar,married,primary,0.0,5776.0,0.0,0.0,cellular,18.0,nov,3.0,0.0,0.0
51.0,blue-collar,divorced,primary,0.0,37.0,1.0,0.0,cellular,13.0,may,1.0,0.0,0.0
32.0,blue-collar,married,secondary,0.0,1148.0,1.0,0.0,cellular,20.0,apr,1.0,0.0,0.0
37.0,blue-collar,married,secondary,0.0,3561.0,1.0,0.0,cellular,2.0,jun,1.0,0.0,0.0
40.0,student,married,secondary,0.0,260.0,0.0,0.0,cellular,20.0,jun,6.0,0.0,0.0
28.0,technician,single,tertiary,0.0,2269.0,1.0,0.0,cellular,9.0,may,1.0,0.0,0.0
47.0,management,married,secondary,0.0,1060.0,1.0,0.0,cellular,6.0,jun,3.0,0.0,0.0
27.0,self-employed,married,secondary,0.0,-220.0,1.0,0.0,cellular,26.0,may,2.0,0.0,0.0
41.0,management,married,tertiary,0.0,49.0,1.0,0.0,cellular,17.0,jul,5.0,0.0,0.0
34.0,admin,married,tertiary,0.0,69.0,1.0,0.0,cellular,4.0,aug,3.0,6.0,1.0
